PAVADINIMAS,MĖNESIO KAINA,KAINA
Samsung Galaxy Flip4 5G,"28,71 €/mėn.",689 €
Samsung Galaxy Fold4 5G,"58,30 €/mėn.",1 399 €
Samsung Galaxy S22,"33,30 €/mėn.",799 €
Samsung Galaxy S22+,"41,63 €/mėn.",999 €
Samsung Galaxy S22 Ultra,"49,96 €/mėn.",1 199 €
Samsung Galaxy A53 5G,"13,71 €/mėn.",329 €
Samsung Galaxy A23 5G,"12,46 €/mėn.",299 €
Samsung Galaxy S21 FE,"26,21 €/mėn.",629 €
Samsung Galaxy A33,"12,46 €/mėn.",299 €
Samsung Galaxy Xcover6 Pro,"25,38 €/mėn.",609 €
Samsung Galaxy A13 5G,"7,88 €/mėn.",189 €
Samsung Galaxy Fold3 5G,"41,63 €/mėn.",999 €
Samsung Galaxy A13 (A137) 128GB,"7,88 €/mėn.",189 €
Samsung Galaxy S20 FE 5G,"20,80 €/mėn.",499 €
Samsung Galaxy A13 (A137) 32GB,"6,21 €/mėn.",149 €
Samsung Galaxy A22 64GB 5G,"7,88 €/mėn.",189 €
Samsung Galaxy XCover 5,"10,38 €/mėn.",249 €
